Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2014.1 378  17.9 168.8  25316.65   4057.58   4057.58  25639.75  27486.43     21.1     9.1
2014.1 378  16.9 169.6  25522.03   4081.84   4081.84  25846.39  27386.84     19.3     9.1
2014.1 378  15.9 170.5  25726.03   4110.88   4110.88  26052.41  27312.14     17.5     9.1
2014.1 378  14.9 171.4  25928.02   4144.35   4144.35  26257.15  27262.26     15.6     9.1
2014.1 378  13.9 172.2  26127.36   4181.87   4181.87  26459.91  27237.15     13.7     9.1
2014.1 378  12.9 173.1  26323.33   4223.02   4223.02  26659.92  27236.81     11.8     9.1
2014.1 378  11.9 173.9  26515.20   4267.35   4267.35  26856.40  27261.24      9.9     9.1
2014.1 378  10.8 174.8  26702.19   4314.39   4314.39  27048.50  27310.46      7.9     9.2
2014.1 378   9.8 175.6  26883.51   4363.64   4363.64  27235.35  27384.48      6.0     9.2
2014.1 378   8.8 176.5  27058.31   4414.58   4414.58  27416.07  27483.33      4.0     9.3
2014.1 378   7.8 177.3  27225.78   4466.69   4466.69  27589.75  27607.00      2.0     9.3
2014.1 378   6.8 178.1  27385.05   4519.41   4519.41  27755.47  27755.47      0.0     9.4
2014.1 379   5.7 178.9  27535.29   4572.20   4572.20  27912.31  27928.70     -2.0     9.4
2014.1 379   4.7 179.7  27675.65   4624.52   4624.52  28059.36  28126.57     -4.0     9.5
2014.1 379   3.7 -179.5  27805.29   4675.82   4675.82  28195.70  28348.94     -6.0     9.5
2014.1 379   2.7 -178.6  27923.40   4725.57   4725.57  28320.44  28595.60     -8.0     9.6
2014.1 379   1.6 -177.8  28029.19   4773.27   4773.27  28432.72  28866.29     -9.9     9.7
2014.1 379   0.6 -177.0  28121.87   4818.43   4818.43  28531.68  29160.65    -11.9     9.7
2014.1 380  -0.4 -176.2  28200.72   4860.60   4860.60  28616.54  29478.27    -13.9     9.8
2014.1 380  -1.5 -175.4  28265.03   4899.38   4899.38  28686.51  29818.66    -15.8     9.8
2014.1 380  -2.5 -174.6  28314.13   4934.40   4934.40  28740.88  30181.26    -17.8     9.9
2014.1 380  -3.5 -173.8  28347.40   4965.34   4965.34  28778.98  30565.43    -19.7     9.9
2014.1 381  -4.5 -173.0  28364.24   4991.93   4991.93  28800.16  30970.46    -21.6    10.0
2014.1 381  -5.6 -172.2  28364.10   5013.96   5013.96  28803.86  31395.60    -23.4    10.0
2014.1 381  -6.6 -171.4  28346.49   5031.28   5031.28  28789.53  31840.00    -25.3    10.1
2014.1 381  -7.6 -170.5  28310.92   5043.77   5043.77  28756.70  32302.80    -27.1    10.1
2014.1 382  -8.6 -169.7  28256.95   5051.40   5051.40  28704.91  32783.09    -28.9    10.1
2014.1 382  -9.7 -168.9  28184.18   5054.14   5054.14  28633.76  33279.91    -30.6    10.2
2014.1 382 -10.7 -168.0  28092.22   5052.03   5052.03  28542.87  33792.31    -32.4    10.2
2014.1 382 -11.7 -167.2  27980.70   5045.14   5045.14  28431.90  34319.29    -34.1    10.2
2014.1 383 -12.7 -166.4  27849.28   5033.54   5033.54  28300.52  34859.87    -35.7    10.2
2014.1 383 -13.7 -165.5  27697.64   5017.36   5017.36  28148.41  35413.03    -37.4    10.3
