Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2013.9 409  51.3 -62.7   8317.78 -12197.79 -12197.79  14763.86  36975.25    -66.5   -55.7
2013.9 409  51.1 -60.7   8531.59 -12001.49 -12001.49  14724.94  36319.60    -66.1   -54.6
2013.9 409  50.9 -58.8   8729.00 -11786.73 -11786.73  14667.05  35679.23    -65.7   -53.5
2013.9 409  50.6 -56.9   8914.53 -11554.85 -11554.85  14593.95  35055.82    -65.4   -52.3
2013.9 409  50.3 -55.0   9092.31 -11307.16 -11307.16  14509.37  34450.50    -65.1   -51.2
2013.9 409  50.0 -53.1   9266.01 -11044.79 -11044.79  14416.88  33863.94    -64.8   -50.0
2013.9 409  49.6 -51.3   9438.82 -10768.70 -10768.70  14319.79  33296.39    -64.5   -48.8
2013.9 408  49.2 -49.5   9613.38 -10479.70 -10479.70  14221.15  32747.86    -64.3   -47.5
2013.9 408  48.8 -47.7   9791.84 -10178.42 -10178.42  14123.75  32218.22    -64.0   -46.1
2013.9 408  48.3 -46.0   9975.90  -9865.38  -9865.38  14030.12  31707.30    -63.7   -44.7
2013.9 408  47.8 -44.3  10166.87  -9541.07  -9541.07  13942.64  31214.97    -63.5   -43.2
2013.9 408  47.3 -42.6  10365.71  -9205.96  -9205.96  13863.54  30741.28    -63.2   -41.6
2013.9 408  46.8 -41.0  10573.14  -8860.62  -8860.62  13794.99  30286.43    -62.9   -40.0
2013.9 408  46.2 -39.3  10789.66  -8505.71  -8505.71  13739.14  29850.85    -62.6   -38.2
2013.9 408  45.6 -37.8  11015.67  -8142.10  -8142.10  13698.13  29435.17    -62.3   -36.5
2013.9 408  45.0 -36.2  11251.48  -7770.80  -7770.80  13674.10  29040.19    -61.9   -34.6
2013.9 408  44.3 -34.7  11497.34  -7393.06  -7393.06  13669.17  28666.84    -61.5   -32.7
2013.9 407  43.7 -33.3  11753.52  -7010.29  -7010.29  13685.37  28316.14    -61.1   -30.8
2013.9 407  43.0 -31.9  12020.26  -6624.13  -6624.13  13724.64  27989.09    -60.6   -28.9
2013.9 407  42.3 -30.5  12297.81  -6236.33  -6236.33  13788.69  27686.63    -60.1   -26.9
2013.9 407  41.6 -29.1  12586.41  -5848.81  -5848.81  13878.99  27409.55    -59.6   -24.9
2013.9 407  40.8 -27.8  12886.29  -5463.54  -5463.54  13996.67  27158.47    -59.0   -23.0
2013.9 407  40.1 -26.5  13197.63  -5082.58  -5082.58  14142.49  26933.73    -58.3   -21.1
2013.9 407  39.3 -25.2  13520.54  -4707.96  -4707.96  14316.77  26735.39    -57.6   -19.2
2013.9 407  38.5 -23.9  13855.08  -4341.71  -4341.71  14519.42  26563.19    -56.9   -17.4
2013.9 406  37.7 -22.7  14201.18  -3985.77  -3985.77  14749.91  26416.57    -56.1   -15.7
2013.9 406  36.9 -21.6  14558.68  -3642.02  -3642.02  15007.31  26294.62    -55.2   -14.0
2013.9 406  36.1 -20.4  14927.28  -3312.18  -3312.18  15290.33  26196.16    -54.3   -12.5
2013.9 406  35.2 -19.3  15306.55  -2997.81  -2997.81  15597.35  26119.71    -53.3   -11.1
2013.9 406  34.4 -18.2  15695.93  -2700.34  -2700.34  15926.52  26063.58    -52.3    -9.8
2013.9 406  33.5 -17.1  16094.70  -2420.95  -2420.95  16275.76  26025.90    -51.3    -8.6
2013.9 406  32.6 -16.0  16502.04  -2160.67  -2160.67  16642.89  26004.63    -50.2    -7.5
2013.9 406  31.8 -15.0  16916.97  -1920.27  -1920.27  17025.61  25997.67    -49.1    -6.5
2013.9 406  30.9 -14.0  17338.40  -1700.32  -1700.32  17421.58  26002.88    -47.9    -5.6
2013.9 405  30.0 -13.0  17765.15  -1501.17  -1501.17  17828.46  26018.13    -46.7    -4.8
2013.9 405  29.0 -12.0  18195.91  -1322.94  -1322.94  18243.94  26041.35    -45.5    -4.2
2013.9 405  28.1 -11.0  18629.33  -1165.53  -1165.53  18665.76  26070.55    -44.3    -3.6
2013.9 405  27.2 -10.1  19063.97  -1028.62  -1028.62  19091.70  26103.90    -43.0    -3.1
2013.9 405  26.3  -9.2  19498.34   -911.71   -911.71  19519.65  26139.72    -41.7    -2.7
2013.9 405  25.3  -8.3  19930.94   -814.10   -814.10  19947.56  26176.53    -40.4    -2.3
2013.9 405  24.4  -7.4  20360.23   -734.92   -734.92  20373.49  26213.03    -39.0    -2.1
2013.9 405  23.4  -6.5  20784.68   -673.15   -673.15  20795.57  26248.16    -37.6    -1.9
2013.9 405  22.4  -5.6  21202.78   -627.65   -627.65  21212.07  26281.06    -36.2    -1.7
2013.9 405  21.5  -4.8  21613.05   -597.17   -597.17  21621.30  26311.12    -34.7    -1.6
2013.9 405  20.5  -4.0  22014.07   -580.38   -580.38  22021.72  26337.93    -33.3    -1.5
2013.9 405  19.5  -3.1  22404.46   -575.92   -575.92  22411.86  26361.28    -31.8    -1.5
2013.9 405  18.5  -2.3  22782.95   -582.40   -582.40  22790.39  26381.18    -30.2    -1.5
2013.9 405  17.5  -1.5  23148.32   -598.42   -598.42  23156.06  26397.79    -28.7    -1.5
2013.9 405  16.6  -0.7  23499.51   -622.65   -622.65  23507.75  26411.46    -27.1    -1.5
2013.9 405  15.6   0.1  23835.51   -653.79   -653.79  23844.48  26422.66    -25.5    -1.6
2013.9 405  14.6   0.9  24155.48   -690.65   -690.65  24165.36  26431.98    -23.9    -1.6
2013.9 405  13.6   1.6  24458.69   -732.13   -732.13  24469.65  26440.12    -22.3    -1.7
2013.9 405  12.6   2.4  24744.53   -777.27   -777.27  24756.74  26447.83    -20.6    -1.8
2013.9 405  11.5   3.1  25012.54   -825.24   -825.24  25026.15  26455.92    -18.9    -1.9
2013.9 405  10.5   3.9  25262.39   -875.35   -875.35  25277.55  26465.24    -17.2    -2.0
2013.9 405   9.5   4.6  25493.85   -927.07   -927.07  25510.70  26476.63    -15.5    -2.1
2013.9 405   8.5   5.4  25706.84   -980.05   -980.05  25725.51  26490.95    -13.8    -2.2
2013.9 406   7.5   6.1  25901.38  -1034.04  -1034.04  25922.01  26509.03    -12.1    -2.3
2013.9 406   6.5   6.8  26077.58  -1088.97  -1088.97  26100.31  26531.67    -10.3    -2.4
2013.9 406   5.5   7.6  26235.64  -1144.88  -1144.88  26260.61  26559.65     -8.6    -2.5
2013.9 406   4.4   8.3  26375.84  -1201.93  -1201.93  26403.21  26593.70     -6.9    -2.6
2013.9 406   3.4   9.0  26498.49  -1260.35  -1260.35  26528.45  26634.52     -5.1    -2.7
2013.9 406   2.4   9.7  26603.95  -1320.46  -1320.46  26636.70  26682.76     -3.4    -2.8
2013.9 407   1.4  10.5  26692.59  -1382.62  -1382.62  26728.37  26739.04     -1.6    -3.0
2013.9 407   0.3  11.2  26764.78  -1447.20  -1447.20  26803.88  26803.95      0.1    -3.1
2013.9 407  -0.7  11.9  26820.90  -1514.57  -1514.57  26863.63  26878.05      1.9    -3.2
2013.9 407  -1.7  12.6  26861.27  -1585.08  -1585.08  26907.99  26961.88      3.6    -3.4
